,,w,u,total_demand,served,un_served_demand,denied,los
32.0,234,8.0,13.0,57.0,49.0,8.0,0.0,0.8596491228070176
32.0,107,0.0,15.0,81.0,81.0,0.0,0.0,1.0
32.0,236,45.0,0.0,146.0,94.0,52.0,7.0,0.6438356164383562
32.0,237,26.0,0.0,122.0,99.0,23.0,0.0,0.8114754098360656
32.0,238,24.0,0.0,65.0,53.0,12.0,1.0,0.8153846153846154
32.0,239,19.0,0.0,83.0,72.0,11.0,0.0,0.8674698795180723
32.0,113,6.0,0.0,45.0,37.0,8.0,4.0,0.8222222222222222
32.0,114,3.0,1.0,12.0,9.0,3.0,1.0,0.75
32.0,243,0.0,0.0,1.0,0.0,1.0,2.0,0.0
32.0,116,3.0,0.0,10.0,4.0,6.0,5.0,0.4
32.0,244,2.0,0.0,8.0,8.0,0.0,2.0,1.0
32.0,246,1.0,0.0,20.0,24.0,-4.0,0.0,1.2
32.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,249,14.0,0.0,37.0,23.0,14.0,0.0,0.6216216216216216
32.0,125,1.0,0.0,7.0,8.0,-1.0,2.0,1.1428571428571428
32.0,127,1.0,0.0,1.0,0.0,1.0,0.0,0.0
33.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,4,0.0,1.0,11.0,15.0,-4.0,2.0,1.3636363636363635
33.0,261,0.0,0.0,6.0,9.0,-3.0,0.0,1.5
33.0,262,15.0,0.0,68.0,55.0,13.0,6.0,0.8088235294117647
33.0,263,15.0,0.0,88.0,75.0,13.0,0.0,0.8522727272727273
33.0,137,15.0,0.0,64.0,55.0,9.0,10.0,0.859375
33.0,12,0.0,0.0,1.0,1.0,0.0,0.0,1.0
33.0,13,8.0,0.0,40.0,32.0,8.0,4.0,0.8
33.0,140,41.0,0.0,97.0,65.0,32.0,2.0,0.6701030927835051
33.0,141,18.0,0.0,110.0,97.0,13.0,0.0,0.8818181818181818
33.0,142,7.0,9.0,68.0,62.0,6.0,0.0,0.9117647058823529
33.0,143,7.0,0.0,47.0,40.0,7.0,10.0,0.851063829787234
33.0,144,4.0,0.0,10.0,11.0,-1.0,3.0,1.1
33.0,148,0.0,0.0,12.0,8.0,4.0,6.0,0.6666666666666666
33.0,151,14.0,0.0,38.0,28.0,10.0,0.0,0.7368421052631579
33.0,24,2.0,0.0,11.0,10.0,1.0,0.0,0.9090909090909091
33.0,152,8.0,3.0,6.0,0.0,6.0,3.0,0.0
33.0,158,3.0,0.0,14.0,6.0,8.0,9.0,0.42857142857142855
33.0,161,6.0,8.0,46.0,53.0,-7.0,0.0,1.1521739130434783
33.0,162,3.0,2.0,77.0,78.0,-1.0,0.0,1.0129870129870129
33.0,163,13.0,0.0,37.0,32.0,5.0,0.0,0.8648648648648649
